Precio $,Dormitorios,Nombre,Tamaño mt2,Habitaciones,Sanitarios,Parqueos,Zona,Agente,Tipo de Propiedad,URL
"$ 1,620 $",3,Zona 14,139,3,3,Info no disponible,"Zona 14, Guatemala",Alterna Alterna,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,959 $",2,Zona 14,295,2,2,Info no disponible,"Zona 14, Guatemala",Alterna Alterna,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,500 mantenimiento incluido",3,Zona 14,Info no disponible,3,3,Info no disponible,"Zona 14, Guatemala",Proyecta Inmueble,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,700",3,Zona 14,137,3,2,Info no disponible,"Zona 14, Guatemala",Mundo Inmobiliario,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,250",3,Zona 14,139,3,2,Info no disponible,"Zona 14, Guatemala",Realty Astarac,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,150 (Mantto incluido)",3,Zona 14,88,3,2,Info no disponible,"Zona 14, Guatemala",Ikono Inmobiliario,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,295,2,2,Info no disponible,"Zona 14, Guatemala",Realty Astarac,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,700",3,Zona 14,137,3,2,Info no disponible,"Zona 14, Guatemala",Mundo Inmobiliario,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200 Más mantenimiento e IVA",2,Zona 14,295,2,2.5,Info no disponible,"Zona 14, Guatemala",Amber Real Estate,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,295,2,2.5,Info no disponible,"Zona 14, Guatemala",INMOBILIARIA PROYMERCA,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,160,2,2.5,Info no disponible,"Zona 14, Guatemala",Inversión Ideal,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,000",4,Zona 14,Info no disponible,4,2.5,Info no disponible,"Zona 14, Guatemala",INMOBILIARIA PROYMERCA,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 775,1,Zona 14,Info no disponible,1,1.5,Info no disponible,"Zona 14, Guatemala",INMOBILIARIA PROYMERCA,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,350",3,Zona 14,169,3,3.5,Info no disponible,"Zona 14, Guatemala",INMOBILIARIA PROYMERCA,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,700",3,Zona 14,132,3,2,Info no disponible,"Zona 14, Guatemala",Mundo Inmobiliario,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 850,1,Zona 14,56,1,1,Info no disponible,"Zona 14, Guatemala",Mundo Inmobiliario,Tipo no especificado,https://mapainmueble.com/area/zona-14/
