Precio,Tamaño de la propiedad,Parqueos,Dormitorios,Baños
"215,600",106.0,2.0,2.0,2.0
"588,000",185.0,0.0,3.0,3.5
"375,000",135.0,2.0,2.0,2.0
"168,000",65.0,0.0,2.0,1.0
"555,000",204.0,3.0,3.0,2.5
"132,000",49.0,1.0,1.0,1.0
"250,000",155.0,2.0,2.0,2.0
"860,000",323.0,3.0,3.0,3.5
"250,000",86.0,2.0,1.0,1.0
"195,000",67.0,1.0,1.0,1.0
"275,000",92.0,2.0,3.0,2.0
"490,000",337.0,2.0,4.0,2.5
"115,000",30.0,1.0,1.0,1.0
"129,500",97.0,2.0,2.0,1.0
"195,000",169.0,2.0,2.0,1.0
"115,000",72.0,2.0,2.0,2.0
"480,000",173.0,2.0,3.0,3.5
"1,500",86.0,2.0,1.0,1.5
"325,000",120.0,2.0,2.0,2.0
"320,000",96.0,2.0,2.0,1.0
"195,000",123.0,2.0,3.0,3.0
"121,795",70.0,2.0,3.0,2.0
"795,000",248.0,3.0,3.0,3.5
"200,000",60.0,2.0,1.0,1.5
"200,000",60.0,2.0,1.0,1.5
"200,000",60.0,2.0,1.0,1.5
"420,000",204.0,3.0,3.0,0.0
"420,000",300.0,4.0,3.0,2.5
"115,000",67.0,1.0,2.0,1.0
"440,000",160.0,2.0,3.0,3.0
"142,000",56.0,2.0,2.0,1.0
"248,685",71.0,2.0,3.0,2.0
"350,000",167.0,2.0,3.0,4.0
"350,000",167.0,2.0,3.0,4.0
"350,000",167.0,2.0,3.0,4.0
"636,649",194.0,2.0,3.0,3.0
"135,000",102.0,1.0,1.0,1.0
"250,000",120.0,2.0,2.0,2.5
"340,000",166.0,2.0,3.0,2.0
"144,190",90.0,1.0,2.0,1.0
"275,000",161.0,2.0,3.0,2.0
"450,000",248.0,2.0,3.0,3.0
"103,784",47.0,1.0,1.0,1.0
"350,000",198.0,1.0,3.0,3.0
"225,000",78.0,2.0,2.0,2.0
"320,000",154.0,2.0,3.0,4.0
"285,000",187.0,2.0,3.0,2.0
"106,963",60.0,1.0,1.0,1.0
"412,886",175.0,2.0,3.0,3.5
"164,344",64.0,2.0,2.0,2.0
"135,296",50.0,1.0,1.0,1.0
"197,059",94.0,2.0,3.0,2.5
"179,608",66.0,2.0,2.0,2.0
"160,986",63.0,2.0,2.0,2.0
"139,125",58.0,1.0,1.0,1.5
"129,000",45.0,1.0,1.0,1.0
"122,440",53.0,1.0,2.0,1.0
"209,750",89.0,1.0,2.0,2.0
"250,000",102.0,2.0,2.0,2.5
"111,750",41.0,1.0,1.0,1.0
"230,000",125.0,2.0,2.0,2.0
"252,120",94.0,3.0,2.0,2.0
"359,000",170.0,3.0,3.0,2.5
"360,000",146.0,2.0,3.0,2.5
"105,128",56.0,1.0,1.0,1.5
"165,384",87.0,2.0,2.0,2.0
"720,000",256.0,4.0,3.0,3.0
"350,000",143.0,4.0,3.0,2.5
"335,000",159.0,3.0,3.0,2.5
"125,000",26.0,1.0,1.0,1.0
"380,000",130.0,2.0,3.0,2.5
"590,000",380.0,4.0,3.0,3.0
"209,300",109.0,2.0,2.0,2.0
"565,000",324.0,3.0,3.0,3.5
"130,000",97.0,2.0,2.0,1.0
"966,637",387.0,3.0,3.0,3.5
"512,000",247.0,2.0,3.0,3.0
"178,810",140.0,2.0,3.0,2.0
"245,000",127.0,2.0,3.0,2.5
"430,000",236.0,2.0,3.0,3.0
"198,000",110.0,2.0,2.0,2.0
"217,499",224.0,3.0,3.0,2.5
"165,000",76.0,2.0,3.0,2.0
"310,000",146.0,2.0,3.0,2.5
"310,000",146.0,2.0,3.0,2.5
"315,000",134.0,2.0,3.0,3.0
"205,000",109.0,2.0,3.0,2.0
"410,000",228.0,3.0,2.0,2.5
"192,000",100.0,2.0,3.0,2.0
"215,000",73.0,2.0,2.0,2.0
"325,000",140.0,2.0,3.0,3.0
"325,000",140.0,2.0,3.0,3.0
"269,000",110.0,2.0,2.0,2.5
"119,000",104.0,2.0,3.0,2.0
"120,000",80.0,1.0,1.0,1.0
"250,000",103.0,2.0,3.0,2.0
"295,000",164.0,3.0,3.0,3.0
"750,000",372.0,3.0,3.0,4.0
